X,CH1,CH2,
Second,Volt,Volt,
7.9599991e-02,-5.60000e-02,-7.80000e-02,
7.9999991e-02,-6.00000e-02,-6.60000e-02,
8.0399990e-02,-4.80000e-02,-7.00000e-02,
8.0799989e-02,-3.60000e-02,-7.00000e-02,
8.1199989e-02,-3.20000e-02,-5.80000e-02,
8.1599995e-02,-2.40000e-02,-6.20000e-02,
8.1999995e-02,-1.60000e-02,-5.40000e-02,
8.2399994e-02,4.00000e-03,-6.00000e-02,
8.2799993e-02,-4.00000e-03,-5.00000e-02,
8.3199993e-02,2.00000e-02,-6.00000e-02,
8.3599992e-02,2.00000e-02,-5.40000e-02,
8.3999991e-02,0.00000e+00,-3.60000e-02,
8.4399991e-02,2.00000e-02,-4.40000e-02,
8.4799990e-02,3.60000e-02,-5.40000e-02,
8.5199989e-02,2.00000e-02,-3.40000e-02,
8.5599989e-02,2.80000e-02,-3.80000e-02,
8.5999988e-02,2.80000e-02,-2.80000e-02,
8.6399995e-02,3.60000e-02,-3.00000e-02,
8.6799994e-02,2.80000e-02,-2.40000e-02,
8.7199993e-02,3.60000e-02,-3.00000e-02,
8.7599993e-02,4.40000e-02,-3.00000e-02,
8.7999992e-02,3.60000e-02,-2.20000e-02,
8.8399991e-02,2.00000e-02,-2.00000e-03,
8.8799991e-02,4.40000e-02,-1.60000e-02,
8.9199990e-02,5.20000e-02,-1.60000e-02,
8.9599989e-02,3.60000e-02,-6.00000e-03,
8.9999989e-02,4.00000e-02,-6.00000e-03,
9.0399988e-02,6.80000e-02,-1.60000e-02,
9.0799995e-02,5.60000e-02,-1.20000e-02,
9.1199994e-02,2.80000e-02,2.00000e-02,
9.1599993e-02,6.80000e-02,-8.00000e-03,
9.1999993e-02,5.60000e-02,2.00000e-03,
9.2399992e-02,4.00000e-02,2.20000e-02,
9.2799991e-02,6.40000e-02,4.00000e-03,
9.3199991e-02,3.60000e-02,3.20000e-02,
9.3599990e-02,5.20000e-02,2.00000e-02,
9.3999989e-02,5.20000e-02,2.20000e-02,
9.4399989e-02,4.80000e-02,2.80000e-02,
9.4799988e-02,6.00000e-02,2.00000e-02,
9.5199987e-02,6.80000e-02,2.40000e-02,
9.5599994e-02,5.20000e-02,3.80000e-02,
9.5999993e-02,6.00000e-02,3.60000e-02,
9.6399993e-02,6.00000e-02,4.20000e-02,
9.6799992e-02,6.80000e-02,3.80000e-02,
9.7199991e-02,6.00000e-02,4.40000e-02,
9.7599991e-02,6.40000e-02,5.20000e-02,
9.7999990e-02,6.40000e-02,5.40000e-02,
9.8399989e-02,8.80000e-02,5.20000e-02,
9.8799989e-02,6.40000e-02,6.40000e-02,
9.9199988e-02,1.00000e-01,4.60000e-02,
9.9599987e-02,8.80000e-02,7.00000e-02,
9.9999987e-02,1.08000e-01,5.60000e-02,
1.0039999e-01,1.00000e-01,7.20000e-02,
1.0079999e-01,1.16000e-01,6.60000e-02,
1.0119999e-01,1.16000e-01,7.60000e-02,
1.0159999e-01,1.32000e-01,7.60000e-02,
1.0199999e-01,1.36000e-01,7.80000e-02,
1.0239999e-01,1.40000e-01,8.20000e-02,
1.0279999e-01,1.64000e-01,7.20000e-02,
1.0319999e-01,1.64000e-01,8.60000e-02,
1.0359999e-01,1.92000e-01,7.60000e-02,
1.0399999e-01,2.00000e-01,7.80000e-02,
1.0439999e-01,2.20000e-01,7.80000e-02,
1.0479999e-01,2.20000e-01,8.40000e-02,
1.0519999e-01,2.44000e-01,7.60000e-02,
1.0559999e-01,2.64000e-01,7.60000e-02,
1.0599999e-01,2.84000e-01,6.80000e-02,
1.0639999e-01,2.68000e-01,9.60000e-02,
1.0679999e-01,2.88000e-01,9.40000e-02,
1.0719999e-01,3.08000e-01,8.20000e-02,
1.0759999e-01,3.16000e-01,9.20000e-02,
1.0799999e-01,3.32000e-01,9.00000e-02,
1.0839999e-01,3.32000e-01,9.20000e-02,
1.0879999e-01,3.52000e-01,8.80000e-02,
1.0919999e-01,3.44000e-01,1.02000e-01,
1.0959999e-01,3.52000e-01,9.80000e-02,
1.0999999e-01,3.80000e-01,8.00000e-02,
1.1039999e-01,3.64000e-01,1.00000e-01,
1.1079999e-01,3.80000e-01,8.80000e-02,
1.1119999e-01,3.64000e-01,9.60000e-02,
1.1159999e-01,3.48000e-01,1.08000e-01,
1.1199999e-01,3.76000e-01,7.00000e-02,
1.1239999e-01,3.48000e-01,8.40000e-02,
1.1279999e-01,3.24000e-01,9.20000e-02,
1.1319999e-01,3.28000e-01,7.40000e-02,
1.1359999e-01,3.00000e-01,8.60000e-02,
1.1399999e-01,2.76000e-01,8.80000e-02,
1.1439999e-01,2.56000e-01,9.00000e-02,
1.1479999e-01,2.40000e-01,9.00000e-02,
1.1519999e-01,2.16000e-01,9.60000e-02,
1.1559999e-01,1.96000e-01,9.80000e-02,
1.1599999e-01,1.92000e-01,9.20000e-02,
1.1639999e-01,1.92000e-01,7.60000e-02,
1.1679999e-01,1.52000e-01,9.60000e-02,
1.1719999e-01,1.52000e-01,8.20000e-02,
1.1759999e-01,1.44000e-01,7.60000e-02,
1.1799999e-01,1.16000e-01,8.20000e-02,
1.1839999e-01,1.16000e-01,7.20000e-02,
1.1879999e-01,1.08000e-01,7.60000e-02,
1.1919999e-01,1.00000e-01,6.80000e-02,
1.1959999e-01,8.00000e-02,7.60000e-02,
